codigo;nome;codigogrupo;custo;markup;venda;fator;listapiscofins;aliquota;cfop;ncm;cstpiscofins;valorpmc;codigobarras;subgrupo;categoria;laboratorio;grupodepreco;similar;estoque;descontofixo;comissao;atualizaestoque;demanda;ativo;st;isento;semincidencia;permitedesconto;localizacao;usocontinuo;observacao;descontomax;cest;csosn;csticms;medfciapop;qtdfciapop;valorfciapop;listacontrole;dcb;registroms;unidemb;unidadesngpc
85023;ADVIL 12H (IBUPROFENO);1;6,8;58;10,74;1;POSITIVA;18;5102;30049099;1;11,28;7896015592769;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A4-P01;N;normal OTC;10;1300100;;;N;;;;;;;
85024;BESILATO DE ANLODIPINO + LOSARTANA POTÁSSICA (ANLODIPINO);1;9,2;48;13,62;1;NEUTRA;17;5102;30049099;1;14,3;7896004749327;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A5-P02;S;normal FP;10;1300100;;;S;30;6,81;;;;;
85025;OMEPRAZOL;1;10,5;44;15,12;1;NEUTRA;18;5102;30049099;1;15,88;7896004701998;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A1-P03;N;normal;10;1300100;;;N;;;;;;;
85026;FLUXENE (FLUOXETINA);1;11,5;45;16,68;1;NEUTRA;17;5102;30049099;1;17,51;7891317489588;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A2-P04;N;normal;10;1300100;;;N;;;;;;;
85027;CLORIDRATO DE SERTRALINA (SERTRALINA);1;12,5;43;17,88;1;NEGATIVA;12;5102;30049099;1;18,77;7891317017385;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A3-P05;N;normal;10;1300100;;;N;;;;;;;
85028;NERALGYN (DIPIRONA);1;8,2;52;12,46;1;NEUTRA;18;5102;30049099;1;13,09;7898158694423;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A4-P06;N;normal OTC;10;1300100;;;N;;;;;;;
85029;DORICIN (DIPIRONA);1;7,8;50;11,7;1;NEUTRA;17;5102;30049099;1;12,29;7896004769028;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A5-P07;N;normal OTC;10;1300100;;;N;;;;;;;
85030;DORFEBRIL (DIPIRONA);1;5,1;62;8,26;1;NEUTRA;18;5102;30049099;1;8,68;7898075310314;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A1-P08;N;normal OTC;10;1300100;;;N;;;;;;;
85031;KABIPAMOL (PARACETAMOL);1;5,8;60;9,28;1;POSITIVA;17;5102;30049099;1;9,74;7899498608033;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A2-P09;N;normal OTC;10;1300100;;;N;;;;;;;
85032;ADVIL 12H (IBUPROFENO);1;7,2;55;11,16;1;NEUTRA;18;5102;30049099;1;11,72;7896015592745;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A3-P01;N;normal OTC;10;1300100;;;N;;;;;;;
85033;FRUTOVITAM (ACETATO DE RACEALFATOCOFEROL);3;3;40;4,2;1;NEUTRA;0;5405;22021000;1;4,41;7896676401561;1;2;1;1;;25;0;2;S;5;A;S;N;N;S;A4-P02;N;ST fiscal teste;10;300100;;;N;;;;;;;
85034;ASPARGIL C (ASPARTATO DE ARGININA);3;3,2;40;4,48;1;NEUTRA;0;5405;22021000;1;4,7;7898495604666;1;2;1;1;;25;0;2;S;5;A;S;N;N;S;A5-P03;N;ST fiscal teste;10;300100;;;N;;;;;;;
85035;PHOXILIUM (CLORETO DE CÁLCIO DIIDRATADO);3;2,2;40;3,08;1;NEUTRA;0;5405;22021000;1;3,23;7898473026343;1;2;1;1;;25;0;2;S;5;A;S;N;N;S;A1-P04;N;ST fiscal teste;10;300100;;;N;;;;;;;
85036;SOLUÇÃO SALINA BALANCEADA - HALEX ISTAR (CLORETO DE CÁLCIO DIIDRATADO);3;2,4;40;3,36;1;NEUTRA;0;5405;22021000;1;3,53;7896727849144;1;2;1;1;;25;0;2;S;5;A;S;N;N;S;A2-P05;N;ST fiscal teste;10;300100;;;N;;;;;;;
85037;CLONAZEPAM;1;15;50;22,5;1;NEUTRA;17;5102;30049099;1;23,62;7891317008932;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A3-P06;N;controlado B1;10;1300100;;;N;;;B1;2;1004309710047;30;CAIXA
85038;CLONAZEPAM;1;14,5;55;22,48;1;NEUTRA;18;5102;30049099;1;23,6;7897406100006;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A4-P07;N;controlado B1;10;1300100;;;N;;;B1;2;1006302620014;30;CAIXA
85039;ALPRAZOLAM;1;12;50;18;1;NEUTRA;17;5102;30049099;1;18,9;7891317462031;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A5-P08;N;controlado B1;10;1300100;;;N;;;B1;2;1004300410067;30;CAIXA
85040;DIAZEPAM;1;8;60;12,8;1;NEUTRA;18;5102;30049099;1;13,44;7897406120448;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A1-P09;N;controlado B1;10;1300100;;;N;;;B1;2;1006302830159;20;CAIXA
85041;HEMITARTARATO DE ZOLPIDEM (ZOLPIDEM);1;16;45;23,2;1;NEUTRA;17;5102;30049099;1;24,36;7891317004606;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A2-P01;N;controlado;10;1300100;;;N;;;B1;2;1004312920014;20;CAIXA
85042;DIMORF (MORFINA);1;22;40;30,8;1;NEUTRA;0;5102;30049099;1;32,34;7896676402087;1;1;1;1;;25;0;2;S;5;A;N;S;N;S;A3-P02;N;controlado A1;10;1300100;;;N;;;A1;2;1029800970032;1;CAIXA
85043;CLORIDRATO DE METILFENIDATO (METILFENIDATO);1;25;35;33,75;1;NEUTRA;18;5102;30049099;1;35,44;7891317010263;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A4-P03;N;controlado A3;10;1300100;;;N;;;A3;2;1004313170027;30;CAIXA
85044;ALPRAZOLAM;1;11,5;52;17,48;1;POSITIVA;17;5102;30049099;1;18,35;7891317010782;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A5-P04;N;controlado B1;10;1300100;;;N;;;B1;2;1004314510026;30;CAIXA
85045;AMOXICILINA;1;9;55;13,95;1;NEUTRA;17;5102;30049099;1;14,65;7891317001568;2;1;1;1;;25;0;2;S;5;A;N;N;N;S;A1-P05;N;antibiotico T;10;1300100;;;N;;;T;2;1004307270023;21;CAIXA
85046;AMOXICILINA;1;9,5;50;14,25;1;NEUTRA;18;5102;30049099;1;14,96;7896112192060;2;1;1;1;;25;0;2;S;5;A;N;N;N;S;A2-P06;N;antibiotico T;10;1300100;;;N;;;T;2;1037004470189;21;CAIXA
85047;AZITROMICINA;1;11;45;15,95;1;NEUTRA;17;5102;30049099;1;16,75;7896004703299;2;1;1;1;;25;0;2;S;5;A;N;N;N;S;A3-P07;N;antibiotico T;10;1300100;;;N;;;T;2;1023505220037;5;CAIXA
85048;AZITROMICINA;1;10,5;48;15,54;1;POSITIVA;18;5102;30049099;1;16,32;7896004715957;2;1;1;1;;25;0;2;S;5;A;N;N;N;S;A4-P08;N;antibiotico T;10;1300100;;;N;;;T;2;1023505220045;3;CAIXA
85049;CEFALEXINA;1;8,5;55;13,18;1;NEUTRA;17;5102;30049099;1;13,83;7896004779577;2;1;1;1;;25;0;2;S;5;A;N;N;N;S;A5-P09;N;antibiotico T;10;1300100;;;N;;;T;2;1023513700018;16;CAIXA
85050;NEMOXIL (AMOXICILINA);1;8,8;52;13,38;1;NEGATIVA;12;5102;30049099;1;14,04;7898075311731;2;1;1;1;;25;0;2;S;5;A;N;N;N;S;A1-P01;N;antibiotico T;10;1300100;;;N;;;T;2;1048100410057;14;CAIXA
