codigo;nome;codigogrupo;custo;markup;venda;fator;listapiscofins;aliquota;cfop;ncm;cstpiscofins;valorpmc;codigobarras;subgrupo;categoria;laboratorio;grupodepreco;similar;estoque;descontofixo;comissao;atualizaestoque;demanda;ativo;st;isento;semincidencia;permitedesconto;localizacao;usocontinuo;observacao;descontomax;cest;csosn;csticms;medfciapop;qtdfciapop;valorfciapop;listacontrole;dcb
82011;ALGODAO HIDROFILO 100G;3;2,00;80,00;3,60;1;NEUTRA;0;5102;96190000;01;3,60;7898200000110;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I1;N;ISENTO;10;2003900;102;;N;;;;
82012;ABSORVENTE NOTURNO 16UN;3;2,90;80,00;5,22;1;NEUTRA;0;5102;96190000;01;5,22;7898200000127;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I2;N;ISENTO;10;2003900;102;;N;;;;
82013;FRALDA DESCARTAVEL G 30UN;3;3,80;80,00;6,84;1;NEUTRA;0;5102;96190000;01;6,84;7898200000134;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I3;N;ISENTO;10;2003900;102;;N;;;;
82014;AGUA DESTILADA 1L;1;4,70;80,00;8,46;1;NEUTRA;0;5102;30049099;01;8,46;7898200000141;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I4;N;ISENTO;10;1300100;102;;N;;;;
82015;LUVA PROCEDIMENTO M 100UN;3;5,60;80,00;10,08;1;NEUTRA;0;5102;96190000;01;10,08;7898200000158;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I5;N;ISENTO;10;2003900;102;;N;;;;
82016;MASCARA CIRURGICA 50UN;3;6,50;80,00;11,70;1;NEUTRA;0;5102;96190000;01;11,70;7898200000165;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I1;N;ISENTO;10;2003900;102;;N;;;;
82017;GAZE ESTERIL 10X10 10UN;1;7,40;80,00;13,32;1;NEUTRA;0;5102;30049099;01;13,32;7898200000172;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I2;N;ISENTO;10;1300100;102;;N;;;;
82018;SERINGA DESCARTAVEL 10ML;1;8,30;80,00;14,94;1;NEUTRA;0;5102;30049099;01;14,94;7898200000189;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I3;N;ISENTO;10;1300100;102;;N;;;;
82019;MORFINA 10MG ML 1ML;1;9,20;80,00;16,56;1;NEUTRA;0;5102;30049099;01;16,56;7898200000196;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I4;N;ISENTO+CONTROLADO;10;1300100;102;;N;;;A1;10
82020;METILFENIDATO 10MG 30CP;1;10,10;80,00;18,18;1;NEUTRA;0;5102;30049099;01;18,18;7898200000202;1;2;1;1;;20;0;2;S;5;A;N;S;N;S;I5;N;ISENTO+CONTROLADO;10;1300100;102;;N;;;A3;11
82021;ENERGETICO LATA 269ML;3;3,00;40,00;4,20;1;NEUTRA;0;5405;22021000;01;4,20;7898200000219;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S1;N;ST;10;0300100;500;60;N;;;;
82022;REFRIGERANTE PET 2L;3;4,10;40,00;5,74;1;NEUTRA;0;5405;22021000;01;5,74;7898200000226;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S2;N;ST;10;0300100;500;60;N;;;;
82023;CERVEJA LATA 350ML;3;5,20;40,00;7,28;1;NEUTRA;0;5405;22021000;01;7,28;7898200000233;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S3;N;ST;10;0300100;500;60;N;;;;
82024;ISQUEIRO DESCARTAVEL;3;6,30;40,00;8,82;1;NEUTRA;0;5405;22021000;01;8,82;7898200000240;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S4;N;ST;10;0300100;500;60;N;;;;
82025;BATERIA AA 4UN;3;7,40;40,00;10,36;1;NEUTRA;0;5405;22021000;01;10,36;7898200000257;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S5;N;ST;10;0300100;500;60;N;;;;
82026;PILHA AAA 4UN;3;8,50;40,00;11,90;1;NEUTRA;0;5405;22021000;01;11,90;7898200000264;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S1;N;ST;10;0300100;500;60;N;;;;
82027;SABONETE LIQUIDO 200ML;2;9,60;40,00;13,44;1;NEUTRA;0;5405;34011100;01;13,44;7898200000271;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S2;N;ST;10;2001900;500;60;N;;;;
82028;ALPRAZOLAM 0,5MG 30CP;1;10,70;40,00;14,98;1;NEUTRA;0;5405;30049099;01;14,98;7898200000288;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S3;N;ST+CONTROLADO;10;1300100;500;60;N;;;B1;8
82029;DIAZEPAM 10MG 20CP;1;11,80;40,00;16,52;1;NEUTRA;0;5405;30049099;01;16,52;7898200000295;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S4;N;ST+CONTROLADO;10;1300100;500;60;N;;;B1;12
82030;PREGABALINA 75MG 30CP;1;12,90;40,00;18,06;1;NEUTRA;0;5405;30049099;01;18,06;7898200000301;1;2;2;1;;20;0;2;S;5;A;S;N;N;S;S5;N;ST;10;1300100;500;60;N;;;;
